epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_weighted_f1
1,1.8241847144232857,0.5461904761904762,0.5445249151477538,0.7848665379042978,0.8394444444444444,0.8356795672282671,0.835679567228267
2,0.911137212117513,0.7617063492063492,0.7604033533253731,0.5183405673393496,0.8835185185185185,0.8832673399075006,0.8832673399075006
3,0.731713281813122,0.7931746031746032,0.7924399794072565,0.3734049738101937,0.915,0.9146420381601342,0.9146420381601341
4,0.6607199126955062,0.8011904761904762,0.8005515135045047,0.3344314285422917,0.9196296296296296,0.9189106717772633,0.9189106717772635
5,0.5904348281262413,0.8182142857142857,0.8177249738908355,0.2554308354922708,0.9438888888888889,0.9439637828824776,0.9439637828824777
